company_name,date,company_id,,,,,,,
パワーシェアリング,2016/5/30,120160530A062,,,,,,,
,,,,,,,,,
data_id,company_name,transaction_at,area,val1,val2,val3,val4,val5,val6
11605313903A00038,パワーシェアリング,2016/05/31 19:00-19:30,東京,11.49,3,17235,0.03,45,0.5
11605313904A00013,パワーシェアリング,2016/05/31 19:00-19:30,中部,11.49,1,5745,0.03,15,0.5
11605313906A00020,パワーシェアリング,2016/05/31 19:00-19:30,関西,11.49,4,22980,0.03,60,0.5
11605313909A00012,パワーシェアリング,2016/05/31 19:00-19:30,九州,11.49,2,11490,0.03,30,0.5
11605314001A00009,パワーシェアリング,2016/05/31 19:30-20:00,北海道,20.31,5,50775,0.03,75,0.5
11605314002A00013,パワーシェアリング,2016/05/31 19:30-20:00,東北,9.26,1,4630,0.03,15,0.5
11605314003A00038,パワーシェアリング,2016/05/31 19:30-20:00,東京,9.26,3,13890,0.03,45,0.5
11605314004A00013,パワーシェアリング,2016/05/31 19:30-20:00,中部,9.26,1,4630,0.03,15,0.5
11605314006A00020,パワーシェアリング,2016/05/31 19:30-20:00,関西,9.26,4,18520,0.03,60,0.5
11605314009A00013,パワーシェアリング,2016/05/31 19:30-20:00,九州,9.26,2,9260,0.03,30,0.5
11605314101A00010,パワーシェアリング,2016/05/31 20:00-20:30,北海道,10.79,5,26975,0.03,75,0.5
11605314102A00013,パワーシェアリング,2016/05/31 20:00-20:30,東北,9.26,1,4630,0.03,15,0.5
11605314103A00037,パワーシェアリング,2016/05/31 20:00-20:30,東京,9.26,2,9260,0.03,30,0.5
11605314104A00013,パワーシェアリング,2016/05/31 20:00-20:30,中部,8.21,1,4105,0.03,15,0.5
11605314106A00019,パワーシェアリング,2016/05/31 20:00-20:30,関西,8.21,3,12315,0.03,45,0.5
11605314109A00012,パワーシェアリング,2016/05/31 20:00-20:30,九州,8.21,2,8210,0.03,30,0.5
11605314201A00010,パワーシェアリング,2016/05/31 20:30-21:00,北海道,10.49,5,26225,0.03,75,0.5
11605314202A00013,パワーシェアリング,2016/05/31 20:30-21:00,東北,9.26,1,4630,0.03,15,0.5
11605314203A00037,パワーシェアリング,2016/05/31 20:30-21:00,東京,9.26,2,9260,0.03,30,0.5
11605314204A00014,パワーシェアリング,2016/05/31 20:30-21:00,中部,8.21,1,4105,0.03,15,0.5
11605314206A00021,パワーシェアリング,2016/05/31 20:30-21:00,関西,8.21,3,12315,0.03,45,0.5
11605314209A00011,パワーシェアリング,2016/05/31 20:30-21:00,九州,8.21,2,8210,0.03,30,0.5
11605314301A00009,パワーシェアリング,2016/05/31 21:00-21:30,北海道,10.42,4,20840,0.03,60,0.5
11605314302A00012,パワーシェアリング,2016/05/31 21:00-21:30,東北,9.26,1,4630,0.03,15,0.5
11605314303A00037,パワーシェアリング,2016/05/31 21:00-21:30,東京,9.26,2,9260,0.03,30,0.5
11605314306A00020,パワーシェアリング,2016/05/31 21:00-21:30,関西,8.06,3,12090,0.03,45,0.5
11605314309A00013,パワーシェアリング,2016/05/31 21:00-21:30,九州,8.06,1,4030,0.03,15,0.5
11605314401A00009,パワーシェアリング,2016/05/31 21:30-22:00,北海道,9.26,4,18520,0.03,60,0.5
